age;normal;overweight;obese
0;14.5;18.7;20.5
1;13.9;17.3;19
2;13.6;17.2;18.6
3;13.2;16.8;18.3
4;13;16.6;18.2
5;13;16.7;18.4
6;13.1;16.9;18.7
7;13.2;17.2;19.3
8;13.4;17.7;20
9;13.6;18.1;20.9
10;13.9;18.8;22
11;14.2;19.5;23
12;14.6;20.3;24.2
13;15.2;21.3;25.3
14;15.7;22.3;26.4
15;16.2;23.2;27.4
16;16.7;23.9;28.2
17;17.1;24.6;28.9
18;17.4;25.2;29.5
19;18.5;25;30
